date,open,high,low,close,adj close,volume,stocastic_kdjd_5,stocastic_kdjk_3,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,macd_macd,macd_macds,macd_macdh,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2016-01-04,857.333,859.967,835.533,837.3,812.121,2767263,51.188,44.62,44.62,0.0,100.0,-0.497,-0.276,-0.442,848.383,879.732,817.035,24.434,Larsen & Toubro
2016-01-05,841.867,846.0,835.0,837.933,812.735,2470134,45.31,33.556,33.556,2.983,100.0,-0.614,-0.415,-0.399,844.9,870.139,819.661,17.468,Larsen & Toubro
2016-01-06,839.333,839.867,823.333,824.567,799.771,2728635,38.031,23.493,23.493,1.778,100.0,-1.135,-0.659,-0.952,839.817,868.767,810.867,17.133,Larsen & Toubro
2016-01-07,818.767,818.9,800.0,804.267,780.081,4689760,31.351,18.754,18.754,1.07,100.0,-2.201,-1.118,-2.168,832.707,873.199,792.215,19.203,Larsen & Toubro
2016-01-08,810.067,811.267,783.333,786.067,762.429,5356012,25.296,14.115,14.115,0.773,100.0,-3.58,-1.785,-3.589,824.934,877.487,772.38,21.217,Larsen & Toubro
2016-01-11,774.667,789.933,763.367,782.233,758.71,4304283,22.33,20.734,20.734,0.727,100.0,-4.575,-2.491,-4.169,818.833,876.656,761.011,22.282,Larsen & Toubro
2016-01-12,790.9,800.0,782.167,786.1,762.461,4095195,21.833,29.642,29.642,6.729,98.058,-4.986,-3.091,-3.79,814.742,873.065,756.419,21.497,Larsen & Toubro
2016-01-13,796.0,796.0,752.067,771.167,747.977,5619939,22.362,33.044,33.044,5.377,96.031,-5.935,-3.748,-4.374,809.9,871.708,748.092,25.08,Larsen & Toubro
2016-01-14,756.267,770.0,740.067,756.433,733.686,5099718,22.666,31.132,31.132,4.431,94.251,-7.281,-4.539,-5.483,804.553,871.928,737.179,25.963,Larsen & Toubro
2016-01-15,759.933,761.0,733.333,738.6,716.389,3987867,21.161,23.556,23.556,3.605,92.775,-9.101,-5.537,-7.128,798.558,873.838,723.277,26.196,Larsen & Toubro
2016-01-18,737.333,740.0,716.0,722.367,700.644,4166632,18.982,19.634,19.634,3.047,91.688,-11.204,-6.754,-8.899,792.208,876.392,708.025,25.914,Larsen & Toubro
2016-01-19,722.867,755.0,712.733,748.633,726.12,4372536,20.696,37.882,37.882,23.623,89.489,-11.131,-7.681,-6.901,788.856,873.003,704.71,27.897,Larsen & Toubro
2016-01-20,733.967,748.333,718.233,744.067,721.692,5856754,25.237,49.966,49.966,22.72,86.788,-11.196,-8.416,-5.56,785.657,869.973,701.342,28.186,Larsen & Toubro
2016-01-21,753.333,758.4,727.4,735.133,713.026,3802062,29.608,49.661,49.661,21.027,83.089,-11.633,-9.083,-5.1,782.289,867.624,696.954,28.498,Larsen & Toubro
2016-01-22,743.933,763.333,740.2,761.467,738.568,3694869,38.962,65.061,65.061,36.134,78.609,-10.221,-9.317,-1.808,780.988,864.084,697.892,28.466,Larsen & Toubro
2016-01-25,767.333,771.9,739.267,742.767,720.431,2472816,44.431,54.885,54.885,31.523,73.26,-10.174,-9.492,-1.364,778.739,861.305,696.173,28.895,Larsen & Toubro
2016-01-27,742.767,748.0,731.767,738.533,716.324,2618145,46.127,42.21,42.21,30.571,68.001,-10.281,-9.653,-1.256,776.506,858.818,694.193,27.632,Larsen & Toubro
2016-01-28,734.0,735.667,713.333,716.333,694.792,5794726,42.325,29.847,29.847,26.12,63.727,-11.662,-10.061,-3.202,773.339,857.962,688.715,27.396,Larsen & Toubro
2016-01-29,716.0,739.333,713.467,734.433,712.347,4848987,39.936,40.186,40.186,34.494,59.941,-11.405,-10.333,-2.145,771.393,855.578,687.209,27.251,Larsen & Toubro
2016-02-01,750.0,772.633,740.067,748.033,725.538,7053951,40.938,46.296,46.296,39.998,55.822,-10.171,-10.3,0.258,765.822,839.565,692.078,28.263,Larsen & Toubro
2016-02-02,749.333,763.333,740.667,747.933,725.441,4505643,43.318,50.282,50.282,39.971,51.666,-9.101,-10.058,1.915,761.353,827.276,695.43,27.757,Larsen & Toubro
2016-02-03,737.867,746.667,728.2,739.2,716.971,3731595,44.409,41.773,41.773,37.619,47.304,-8.756,-9.796,2.081,756.417,812.201,700.632,27.044,Larsen & Toubro
2016-02-04,746.0,766.567,745.467,757.133,734.365,5956550,48.16,52.986,52.986,44.802,43.535,-7.152,-9.265,4.226,753.045,798.722,707.368,27.072,Larsen & Toubro
2016-02-05,761.2,768.0,751.033,759.933,737.081,4000880,52.411,61.901,61.901,45.85,40.327,-5.626,-8.535,5.816,750.828,789.858,711.799,26.204,Larsen & Toubro
2016-02-08,760.667,771.9,746.933,753.533,730.873,2539246,54.919,51.439,51.439,43.802,37.344,-4.822,-7.79,5.936,749.202,784.589,713.814,26.099,Larsen & Toubro
2016-02-09,743.333,751.967,734.933,742.8,720.463,2523124,53.643,41.386,41.386,40.533,34.278,-4.9,-7.21,4.621,747.23,779.087,715.373,25.472,Larsen & Toubro
2016-02-10,738.467,753.333,735.333,747.067,724.601,3203877,50.763,38.532,38.532,42.374,31.2,-4.598,-6.687,4.178,745.278,771.369,719.187,24.855,Larsen & Toubro
2016-02-11,745.8,750.167,719.333,728.267,706.367,4395021,45.731,34.447,34.447,36.945,28.99,-5.664,-6.482,1.635,743.133,767.241,719.025,25.343,Larsen & Toubro
2016-02-12,733.067,735.0,677.367,702.433,681.31,6160240,41.359,33.963,33.963,31.057,28.497,-8.308,-6.848,-2.92,740.433,769.793,711.073,27.954,Larsen & Toubro
2016-02-15,714.867,769.8,709.7,766.267,743.224,5939226,45.507,54.702,54.702,51.589,27.568,-5.607,-6.599,1.985,741.817,773.34,710.293,31.111,Larsen & Toubro
2016-02-16,771.933,771.933,732.867,736.0,713.867,3548740,49.184,57.135,57.135,44.779,26.328,-5.66,-6.411,1.503,742.498,772.818,712.179,31.743,Larsen & Toubro
2016-02-17,737.067,755.8,721.433,748.3,725.797,3479412,53.687,58.765,58.765,47.795,25.282,-4.725,-6.074,2.697,742.482,772.787,712.176,31.949,Larsen & Toubro
2016-02-18,756.267,783.3,755.333,766.433,743.385,5457168,59.065,63.422,63.422,51.96,24.005,-2.59,-5.377,5.574,743.6,775.746,711.453,32.188,Larsen & Toubro
2016-02-19,764.1,779.267,754.267,767.0,743.935,3036894,63.543,66.833,66.833,52.089,22.591,-0.847,-4.47,7.246,745.193,778.703,711.684,31.63,Larsen & Toubro
2016-02-22,766.667,778.833,760.133,766.5,743.45,2054481,66.567,58.6,58.6,51.957,21.143,0.488,-3.478,7.933,745.445,779.54,711.35,30.632,Larsen & Toubro
2016-02-23,770.167,770.667,750.067,753.433,730.776,2045679,66.262,42.909,42.909,48.493,19.66,0.54,-2.675,6.429,745.978,780.23,711.727,29.862,Larsen & Toubro
2016-02-24,748.0,753.333,740.0,741.933,719.622,1816150,59.259,30.265,30.265,45.61,18.598,-0.298,-2.199,3.803,746.148,780.278,712.019,28.607,Larsen & Toubro
2016-02-25,745.333,746.667,721.333,724.3,702.519,2655282,50.132,22.182,22.182,41.534,18.429,-2.292,-2.218,-0.149,746.547,779.372,713.721,28.359,Larsen & Toubro
2016-02-26,728.333,745.0,728.2,740.433,718.167,2277972,44.196,34.684,34.684,46.266,18.822,-2.595,-2.293,-0.603,746.847,779.313,714.38,27.779,Larsen & Toubro
2016-02-29,742.667,749.0,702.033,717.333,695.762,5500994,39.124,33.981,33.981,41.133,20.203,-4.572,-2.749,-3.646,745.312,780.344,710.279,29.224,Larsen & Toubro
2016-03-01,724.667,752.667,720.667,749.3,726.767,3647114,42.76,53.771,53.771,49.485,21.925,-3.61,-2.921,-1.378,745.38,780.439,710.321,29.683,Larsen & Toubro
2016-03-02,762.0,767.267,755.467,758.6,735.788,3652203,49.26,64.752,64.752,51.635,22.971,-2.099,-2.757,1.315,746.35,781.761,710.939,28.807,Larsen & Toubro
2016-03-03,765.933,807.467,756.3,804.733,780.533,5552958,57.499,75.451,75.451,60.595,23.508,2.673,-1.671,8.688,748.73,792.584,704.876,30.473,Larsen & Toubro
2016-03-04,810.0,815.967,791.333,795.467,771.546,3438969,63.883,72.339,72.339,58.26,23.926,5.662,-0.204,11.732,750.507,798.915,702.098,30.039,Larsen & Toubro
2016-03-08,795.467,808.0,782.133,791.633,767.827,3022782,67.897,67.965,67.965,57.277,23.865,7.64,1.365,12.55,752.412,804.202,700.621,29.73,Larsen & Toubro
2016-03-09,788.267,813.333,785.333,808.567,784.252,3121142,71.889,71.353,71.353,60.452,23.673,10.418,3.175,14.486,755.7,812.981,698.419,29.602,Larsen & Toubro
2016-03-10,809.333,814.333,787.5,790.767,766.987,2932767,72.093,56.507,56.507,55.761,23.44,11.088,4.758,12.66,757.885,817.081,698.688,29.398,Larsen & Toubro
2016-03-11,792.633,801.333,780.867,790.433,766.663,2996378,67.202,47.199,47.199,55.674,22.835,11.46,6.098,10.723,760.993,820.17,701.816,28.742,Larsen & Toubro
2016-03-14,798.0,804.433,785.133,789.467,765.726,2726301,60.417,40.032,40.032,55.404,22.156,11.544,7.188,8.714,765.345,818.926,711.764,28.049,Larsen & Toubro
2016-03-15,792.467,798.567,783.7,787.167,763.496,2444158,52.78,35.599,35.599,54.723,21.363,11.299,8.01,6.578,766.39,820.854,711.926,27.084,Larsen & Toubro
2016-03-16,791.333,794.467,776.6,788.8,765.079,2704712,47.114,38.344,38.344,55.144,20.13,11.105,8.629,4.952,769.03,822.399,715.66,26.41,Larsen & Toubro
2016-03-17,798.667,803.333,789.633,795.5,771.578,3872654,46.905,49.129,49.129,56.917,19.116,11.353,9.174,4.358,771.39,825.073,717.707,25.543,Larsen & Toubro
2016-03-18,799.333,802.0,793.4,799.533,775.49,2566830,50.756,61.348,61.348,57.992,18.276,11.734,9.686,4.096,773.045,828.108,717.982,24.309,Larsen & Toubro
2016-03-21,800.667,821.7,796.233,818.767,794.145,3575446,57.217,71.183,71.183,62.768,18.478,13.412,10.431,5.962,775.633,834.252,717.015,24.393,Larsen & Toubro
2016-03-22,822.667,830.0,814.667,824.867,800.062,2979816,63.774,76.114,76.114,64.159,19.598,15.054,11.356,7.397,778.552,840.946,716.158,23.735,Larsen & Toubro
2016-03-23,826.667,832.667,820.2,828.367,803.457,2438136,69.603,80.142,80.142,64.968,21.336,16.445,12.373,8.142,782.298,847.287,717.31,22.917,Larsen & Toubro
2016-03-28,828.367,830.8,798.7,804.233,780.048,3717456,67.525,58.858,58.858,55.642,21.853,15.441,12.987,4.909,785.413,848.19,722.636,23.583,Larsen & Toubro
2016-03-29,805.333,810.7,793.333,795.967,772.031,2703178,59.843,41.471,41.471,52.844,21.493,13.826,13.155,1.343,788.997,844.89,733.104,23.132,Larsen & Toubro
2016-03-30,805.333,821.267,801.0,818.7,794.08,2874000,56.945,50.215,50.215,58.956,20.95,14.2,13.364,1.673,792.91,845.339,740.481,23.289,Larsen & Toubro
2016-03-31,817.3,820.0,807.667,811.133,786.741,4945964,54.358,54.717,54.717,56.338,20.314,13.733,13.438,0.59,797.6,836.633,758.567,22.497,Larsen & Toubro
2016-04-01,808.0,832.2,808.0,825.267,800.45,2539944,56.298,62.405,62.405,59.919,20.224,14.328,13.616,1.425,801.398,835.056,767.741,22.62,Larsen & Toubro
2016-04-04,826.6,833.333,814.4,823.9,799.124,1740162,59.395,62.685,62.685,59.411,20.528,14.523,13.797,1.452,804.663,833.105,776.222,22.354,Larsen & Toubro
2016-04-05,818.933,823.167,793.367,796.767,772.807,3151113,55.118,44.626,44.626,50.305,20.279,12.36,13.51,-2.299,804.265,832.925,775.605,22.944,Larsen & Toubro
2016-04-06,799.4,810.0,788.333,807.9,783.605,2583834,51.924,44.245,44.245,53.457,19.941,11.407,13.089,-3.364,804.887,833.281,776.492,22.852,Larsen & Toubro
2016-04-07,805.333,806.633,785.2,788.6,764.885,2707580,45.52,32.482,32.482,47.797,19.714,9.0,12.271,-6.543,804.735,833.458,776.012,22.841,Larsen & Toubro
2016-04-08,789.333,798.0,787.333,794.833,770.931,1565038,39.84,34.602,34.602,49.651,19.566,7.506,11.318,-7.625,804.048,833.041,775.056,21.965,Larsen & Toubro
2016-04-11,797.333,810.6,790.4,808.9,784.575,2529934,39.824,54.17,54.17,53.652,18.999,7.367,10.528,-6.323,804.955,833.326,776.584,21.838,Larsen & Toubro
2016-04-12,810.0,823.267,804.7,814.933,790.427,2837052,44.071,61.716,61.716,55.293,18.861,7.652,9.953,-4.601,806.18,834.022,778.338,21.603,Larsen & Toubro
2016-04-13,824.0,835.333,819.4,823.267,798.51,4955906,49.499,65.526,65.526,57.53,19.479,8.451,9.652,-2.403,807.87,835.543,780.197,21.516,Larsen & Toubro
2016-04-18,823.267,837.967,806.033,835.333,810.213,2644515,56.944,74.378,74.378,60.603,19.62,9.939,9.71,0.458,810.278,838.738,781.819,22.265,Larsen & Toubro
2016-04-20,835.333,845.3,832.0,843.967,818.587,2522848,64.767,81.787,81.787,62.684,19.789,11.678,10.103,3.149,813.037,843.364,782.71,21.621,Larsen & Toubro
2016-04-21,846.467,850.0,830.7,834.633,809.534,1723544,68.39,76.208,76.208,59.053,20.172,12.165,10.516,3.298,814.993,845.605,784.382,21.454,Larsen & Toubro
2016-04-22,833.333,846.0,827.667,843.4,818.038,2008374,71.844,74.288,74.288,61.319,20.442,13.105,11.033,4.142,817.187,849.379,784.994,21.23,Larsen & Toubro
2016-04-25,846.667,851.733,838.067,843.667,818.296,2128689,74.547,71.686,71.686,61.389,20.914,13.713,11.569,4.287,818.432,852.738,784.125,20.688,Larsen & Toubro
2016-04-26,840.733,855.633,840.233,854.0,828.319,1877685,77.927,79.178,79.178,64.101,21.683,14.855,12.226,5.257,819.888,857.646,782.131,20.309,Larsen & Toubro
2016-04-27,854.0,859.167,847.367,850.967,825.377,1557686,78.99,73.164,73.164,62.709,22.777,15.339,12.849,4.981,821.018,861.124,780.913,19.699,Larsen & Toubro
2016-04-28,851.333,855.267,835.6,839.7,814.449,2789970,74.93,54.575,54.575,57.696,22.97,14.647,13.209,2.877,822.792,862.908,782.675,19.696,Larsen & Toubro
2016-04-29,840.1,844.067,830.333,836.4,811.248,1689374,67.138,43.397,43.397,56.277,22.336,13.675,13.302,0.746,824.813,863.279,786.347,19.269,Larsen & Toubro
2016-05-02,830.667,837.333,824.0,833.833,808.758,1344315,59.322,39.414,39.414,55.141,21.635,12.553,13.152,-1.198,825.57,864.125,787.015,18.844,Larsen & Toubro
2016-05-03,837.333,855.433,830.0,834.267,809.179,2525150,52.5,37.164,37.164,55.306,21.095,11.566,12.835,-2.538,826.727,864.844,788.61,19.316,Larsen & Toubro
2016-05-04,831.367,838.6,826.667,831.2,806.204,1644345,46.181,32.411,32.411,53.806,20.432,10.416,12.351,-3.87,827.023,865.185,788.862,18.787,Larsen & Toubro
2016-05-05,829.667,855.0,829.467,849.233,823.695,2821256,47.16,47.756,47.756,60.575,20.488,10.833,12.047,-2.429,828.29,867.677,788.903,19.27,Larsen & Toubro
2016-05-06,847.333,848.267,836.0,840.3,815.031,1610382,48.117,47.877,47.877,56.183,20.991,10.324,11.703,-2.757,830.467,867.244,793.69,18.838,Larsen & Toubro
2016-05-09,842.667,864.6,842.133,863.033,837.08,2788514,53.848,63.764,63.764,63.446,22.338,11.619,11.686,-0.134,833.223,871.126,795.321,19.229,Larsen & Toubro
2016-05-10,863.333,881.8,858.667,880.033,853.569,3676146,61.167,74.557,74.557,67.751,24.577,13.856,12.12,3.472,837.795,875.087,800.503,19.508,Larsen & Toubro
2016-05-11,866.567,889.333,863.333,885.167,858.548,4603557,67.962,80.096,80.096,68.94,27.435,15.859,12.868,5.983,842.312,879.577,805.047,19.973,Larsen & Toubro
2016-05-12,883.4,893.267,874.167,877.4,851.015,1553274,71.463,71.444,71.444,65.032,30.651,16.629,13.62,6.018,845.737,882.662,808.811,19.91,Larsen & Toubro
2016-05-13,873.333,876.667,853.633,857.667,831.875,2103742,68.454,51.022,51.022,56.299,32.409,15.47,13.99,2.96,847.873,882.144,813.603,20.186,Larsen & Toubro
2016-05-16,861.2,864.0,845.833,855.5,829.774,2410952,61.775,40.808,40.808,55.419,32.736,14.213,14.035,0.357,849.485,881.862,817.108,20.042,Larsen & Toubro
2016-05-17,859.333,872.667,856.433,860.733,834.849,2223566,55.433,43.313,43.313,57.161,32.53,13.484,13.925,-0.882,850.755,882.786,818.724,19.836,Larsen & Toubro
2016-05-18,856.933,874.8,851.367,873.233,846.973,2603508,52.873,60.406,60.406,61.073,31.682,13.755,13.891,-0.272,852.218,885.589,818.847,20.093,Larsen & Toubro
2016-05-19,869.333,872.0,840.033,844.067,818.684,2005083,47.084,44.138,44.138,49.674,30.214,11.485,13.409,-3.849,852.69,885.272,820.108,21.031,Larsen & Toubro
2016-05-20,848.0,853.133,834.067,836.733,811.571,1672558,40.007,31.607,31.607,47.285,28.708,8.992,12.526,-7.069,852.357,885.471,819.243,20.89,Larsen & Toubro
2016-05-23,842.433,843.9,825.333,827.467,802.584,2198760,32.896,22.596,22.596,44.379,27.631,6.197,11.26,-10.127,851.547,886.307,816.786,20.724,Larsen & Toubro
2016-05-24,827.467,832.4,815.533,828.1,803.198,1858491,28.436,26.205,26.205,44.63,27.243,3.987,9.805,-11.637,850.252,886.524,813.979,20.448,Larsen & Toubro
2016-05-25,840.0,865.767,834.033,861.067,835.173,3721570,32.254,47.684,47.684,55.787,26.5,4.839,8.812,-7.947,850.757,887.351,814.162,21.679,Larsen & Toubro
2016-05-26,936.0,989.933,926.667,982.767,953.214,20691908,41.022,63.753,63.753,75.453,27.443,15.154,10.08,10.147,857.91,926.952,788.868,29.341,Larsen & Toubro
2016-05-27,982.667,991.567,968.0,983.267,953.698,5885740,50.948,74.079,74.079,75.501,29.418,23.103,12.685,20.837,865.253,953.291,777.216,28.928,Larsen & Toubro
2016-05-30,979.933,997.633,977.433,991.4,961.587,3487940,60.429,79.792,79.792,76.316,32.013,29.716,16.091,27.25,873.132,976.241,770.023,28.305,Larsen & Toubro
2016-05-31,990.8,991.4,978.133,982.367,952.826,3809606,68.003,69.356,69.356,73.396,34.902,33.839,19.641,28.396,880.537,992.763,768.311,27.23,Larsen & Toubro
2016-06-01,980.033,989.433,974.067,976.7,947.329,2486295,71.647,49.961,49.961,71.546,37.677,36.231,22.959,26.544,887.812,1005.312,770.312,26.382,Larsen & Toubro
2016-06-02,973.333,988.467,961.1,984.833,955.217,3103587,72.524,59.416,59.416,72.613,39.664,38.341,26.035,24.611,894.592,1018.208,770.975,26.452,Larsen & Toubro
2016-06-03,984.667,990.633,970.667,973.733,944.451,2250340,68.698,53.87,53.87,68.821,41.127,38.671,28.562,20.218,901.263,1026.928,775.598,25.989,Larsen & Toubro
2016-06-06,975.2,982.233,974.033,978.8,949.366,1901931,65.855,55.891,55.891,69.601,42.21,38.894,30.629,16.53,907.052,1035.926,778.177,24.739,Larsen & Toubro
2016-06-07,983.333,1000.0,974.2,991.933,962.104,3348536,66.081,61.427,61.427,71.586,43.366,39.672,32.437,14.47,912.647,1046.213,779.081,24.815,Larsen & Toubro
2016-06-08,996.8,1009.8,993.433,1007.47,977.174,3325263,69.419,72.113,72.113,73.769,44.69,41.069,34.164,13.811,918.762,1058.105,779.419,24.318,Larsen & Toubro
2016-06-09,1007.53,1009.13,991.4,994.3,964.4,1813730,69.899,66.896,66.896,68.936,45.934,40.645,35.46,10.37,924.607,1066.43,782.784,23.848,Larsen & Toubro
2016-06-10,988.2,1003.33,984.2,991.8,961.975,2152996,67.865,54.493,54.493,68.024,46.583,39.651,36.298,6.705,931.313,1072.492,790.135,23.511,Larsen & Toubro
2016-06-13,980.0,982.6,970.2,977.433,948.04,2209358,61.45,42.522,42.522,62.881,45.986,37.274,36.493,1.56,937.41,1075.297,799.524,23.374,Larsen & Toubro
2016-06-14,978.667,982.167,970.067,973.7,944.419,1689316,52.787,31.988,31.988,61.578,44.624,34.689,36.132,-2.888,943.058,1076.916,809.201,22.569,Larsen & Toubro
2016-06-15,976.0,1011.33,975.667,1009.2,978.852,2960616,53.609,52.938,52.938,68.304,43.757,35.099,35.926,-1.653,949.857,1082.589,817.125,23.645,Larsen & Toubro
2016-06-16,1006.0,1006.0,985.333,996.133,966.178,2447025,55.037,56.349,56.349,63.872,43.229,33.979,35.536,-3.115,957.46,1081.835,833.085,23.661,Larsen & Toubro
2016-06-17,996.333,1001.9,981.933,986.833,957.157,2653944,54.071,48.003,48.003,60.846,42.692,31.972,34.824,-5.702,964.965,1076.074,853.856,23.397,Larsen & Toubro
2016-06-20,975.6,1006.67,973.533,1004.7,974.487,2975367,56.96,63.353,63.353,64.341,41.589,31.461,34.151,-5.38,973.827,1065.297,882.357,24.093,Larsen & Toubro
2016-06-21,1006.67,1007.27,993.667,996.533,966.566,1195078,58.676,64.96,64.96,61.633,40.2,30.05,33.331,-6.561,982.248,1043.124,921.373,23.343,Larsen & Toubro
2016-06-22,997.333,1002.0,986.8,994.367,964.465,1813926,59.781,63.892,63.892,60.9,38.19,28.43,32.351,-7.842,988.913,1010.318,967.509,22.761,Larsen & Toubro
2016-06-23,991.4,1005.3,982.267,999.067,969.023,2053992,62.039,64.992,64.992,61.957,35.581,27.211,31.323,-8.223,989.728,1011.388,968.069,22.781,Larsen & Toubro
2016-06-24,965.667,978.667,934.0,953.733,925.053,6840802,59.142,52.553,52.553,48.382,34.445,22.33,29.524,-14.388,988.252,1015.158,961.346,25.802,Larsen & Toubro
2016-06-27,952.633,979.6,952.0,977.833,948.428,2560092,57.93,55.528,55.528,54.135,34.212,20.174,27.654,-14.961,987.573,1014.827,960.32,25.93,Larsen & Toubro
2016-06-28,979.133,994.333,978.667,982.7,953.148,2342134,58.544,63.925,63.925,55.22,33.68,18.643,25.852,-14.418,987.59,1014.831,960.349,25.256,Larsen & Toubro
2016-06-29,990.8,995.333,984.833,988.8,959.065,2000546,60.852,70.924,70.924,56.606,32.922,17.717,24.225,-13.015,988.195,1014.95,961.44,24.355,Larsen & Toubro
2016-06-30,992.133,1003.27,989.933,997.667,967.665,3960568,65.328,73.025,73.025,58.612,31.596,17.498,22.88,-10.764,988.837,1015.867,961.807,23.649,Larsen & Toubro
2016-07-01,1003.2,1030.0,1000.47,1028.43,997.503,3497924,70.947,80.858,80.858,64.707,30.442,19.58,22.22,-5.279,991.572,1022.895,960.249,24.269,Larsen & Toubro
2016-07-04,1033.33,1051.33,1032.23,1045.4,1013.963,2718052,75.765,84.019,84.019,67.546,30.02,22.342,22.244,0.196,994.902,1033.762,956.042,24.171,Larsen & Toubro
2016-07-05,1044.2,1054.67,1034.67,1050.73,1019.133,2636760,79.973,86.923,86.923,68.405,30.151,24.677,22.731,3.892,997.841,1043.972,951.711,23.873,Larsen & Toubro
2016-07-07,1050.73,1054.63,1033.77,1036.33,1005.166,2084571,80.92,64.039,64.039,63.511,30.565,25.076,23.2,3.752,999.284,1048.393,950.176,23.658,Larsen & Toubro
2016-07-08,1036.63,1037.43,1014.7,1021.77,991.044,1915600,76.717,48.589,48.589,58.92,30.067,23.941,23.348,1.187,1000.658,1050.707,950.609,23.592,Larsen & Toubro
2016-07-11,1038.67,1047.47,1036.37,1039.87,1008.599,1815518,73.321,53.404,53.404,62.545,29.392,24.223,23.523,1.401,1003.061,1055.86,950.262,23.742,Larsen & Toubro
2016-07-12,1045.2,1047.83,1031.3,1045.33,1013.895,2383048,72.18,66.421,66.421,63.588,28.359,24.604,23.739,1.729,1006.456,1061.019,951.894,23.227,Larsen & Toubro
